,Enregy,Sample,Fit,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0050
275,29223.4313809872,0.9598831609294712,0.9640553895361894,0.05576547407205518,0.9082899154641342
276,29223.6936909585,0.9597280156599536,0.9639510744647889,0.055549598715347745,0.9084014757494412
277,29223.956005668,0.9584741023334956,0.9613474027868305,0.05529322611568475,0.9060541766711457
278,29224.2183251158,0.9602740479614583,0.959564266333569,0.05512778964816181,0.9044364766854072
279,29224.4281840857,0.9586223223108711,0.9610871169619153,0.05493169895961263,0.9061554180023027
280,29224.6380460881,0.9575922119477589,0.961029464152825,0.054754944288622265,0.9062745198642027
281,29224.900377856,0.9540685168707386,0.9614144341354041,0.05462333250706442,0.9067911016283396
282,29225.1627143625,0.9557110511587821,0.9613406460999856,0.054443006498303276,0.9068976396016823
283,29225.4250556079,0.9536693363880623,0.959483864123932,0.05410660337945611,0.905377260744476
284,29225.6874015923,0.9534012187432208,0.9575893294457667,0.05394322280727244,0.9036461066384942
285,29225.8972817919,0.9515350582238264,0.9577339082154321,0.05390074774483766,0.9038331604705945
286,29226.1596363068,0.9508466515531366,0.9568883720750192,0.05357247967882494,0.9033158923961943
287,29226.369523331,0.9499572851918593,0.9550498830523622,0.053329763893329545,0.9017201191590326
288,29226.6318863767,0.9490586695909863,0.9530882095073178,0.05327361247520308,0.8998145970321146
289,29226.894254162,0.9477500740241148,0.9531151275824002,0.05292483332698602,0.9001902942554142
290,29227.156626687,0.9447814369467872,0.9508842091731459,0.05274563260671418,0.8981385765664317
291,29227.3665281197,0.9445066044565611,0.9482075909214988,0.05261653332902914,0.8955910575924696
292,29227.6289091765,0.9416571176193894,0.9476609960419665,0.0519158161641545,0.895745179877812
293,29227.8912949733,0.9407851666587591,0.947167729385376,0.051631759966560414,0.8955359694188155
294,29228.1012070237,0.9394498233820288,0.9473624358896435,0.051487662506889326,0.8958747733827542
